"species","garden","trait","n_individuals","n_populations","log_ratio_mean","log_ratio_median","log_ratio_lo","log_ratio_hi","log_ratio_p","n_divergent","max_rhat"
"lusitanica","GH","AGR.TreatD",157,5,1.30267949897906,1.32269578403536,-4.35779596975323,6.83000127895717,0.547666666666667,204,1.02467291552468
"lusitanica","GH","AGR.TreatW",174,5,1.18201495420768,1.32581263081453,-1.65582436029426,3.35728442936841,0.328,573,1.19076918027721
"lusitanica","GH","Area.TreatD",163,5,1.70754314999612,1.71634429814394,-5.02382333977226,7.84957675603558,0.471,298,1.02485594482093
"lusitanica","GH","Area.TreatW",164,5,0.544334759858908,0.683846872183193,-5.36104565572582,5.99680487863055,0.749333333333333,189,1.03094361628751
"lusitanica","GH","FvFm_prima.TreatD",137,5,1.14383617264375,1.20231886941776,-4.86954345005379,6.72925016572269,0.598333333333333,236,1.05731715040887
"lusitanica","GH","FvFm_prima.TreatW",161,5,3.12495298700314,3.07127253281665,-2.91415856546719,9.27346672921668,0.235333333333333,88,1.00710120845128
"lusitanica","GH","Gsarea.TreatD",170,5,2.82847504794514,2.69400128809383,-2.69308686560803,8.73342957277317,0.233666666666667,62,1.00596736341754
"lusitanica","GH","Gsarea.TreatW",164,5,0.508264637034272,0.683443751540961,-5.55570533867805,5.81461243980057,0.781333333333333,28,1.02152807176382
"lusitanica","GH","Gsmass.TreatD",161,5,3.62043903370432,3.45522233319281,-1.65426088322009,9.90245291689291,0.137666666666667,80,1.00617218527118
"lusitanica","GH","Gsmass.TreatW",156,5,0.350877430927934,0.485714434397114,-5.8946527193828,5.97450970689544,0.834333333333333,205,1.04062338402797
"lusitanica","GH","NPQ.TreatD",137,5,1.02661650199123,0.981831821662941,-5.02544083424568,6.70611145816409,0.616333333333333,518,1.06349690682215
"lusitanica","GH","NPQ.TreatW",160,5,2.70226544146275,2.6784117061048,-3.1518792888491,8.56845934305974,0.268666666666667,91,1.01042842677989
"lusitanica","GH","PA.TreatD",163,5,0.772188404210896,0.865825984477354,-5.66302462713869,6.39716243028715,0.703,140,1.09454364599347
"lusitanica","GH","PA.TreatW",164,5,1.11730101788161,1.18582773950356,-2.81554528953176,4.26125754006232,0.420666666666667,415,1.05725470983912
"lusitanica","GH","PhiPSII.TreatD",139,5,1.9283377505981,1.81946629273371,-3.80202794308769,7.72390265371053,0.402333333333333,170,1.00848253813117
"lusitanica","GH","PhiPSII.TreatW",160,5,2.26997217676437,2.31284177284352,-4.65701881334399,9.24958745346657,0.432,98,1.00660778066309
"lusitanica","GH","RGR.TreatD",157,5,0.567007585467342,0.769854314037432,-5.40167436329845,5.94152140544262,0.747666666666667,343,1.0229441404416
"lusitanica","GH","RGR.TreatW",174,5,0.77687155399483,1.10122556601426,-4.08188173524698,3.39865369655426,0.572333333333333,1228,1.21473615634606
"lusitanica","GH","SLA.TreatD",163,5,0.238911720266224,0.582735709882019,-6.2907603892347,5.13963100479672,0.832666666666667,1088,1.23703017012799
"lusitanica","GH","SLA.TreatW",164,5,0.23627620397627,0.398908082580693,-6.24288040848934,5.68186154358496,0.889666666666667,166,1.02594161392623
"lusitanica","GH","Thickness.TreatD",159,5,0.332398004818766,0.588518916694938,-5.5633694308724,6.06287458451746,0.820333333333333,404,1.05971709303053
"lusitanica","GH","Thickness.TreatW",163,5,1.33085221511307,1.51023486577137,-4.5133712414579,6.35100427057124,0.516333333333333,277,1.06427443362861
