experiment_name	model	num_pops	fst	wdiff	wvar	correlation	generations	replicate_number	S_value_Driftsel	S_value_Driftsel_Neutral	p_value_QSTFST	p_value_QSTFST_Neutral	p_value_MONET	log_ratio_MONET	p_value_MONET_Neutral	log_ratio_MONET_Neutral
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	445	0.86918241988431	0.262033010322255	0.01	0.1	0.01925	1.35166141617033	0.29025	-2.01498574319457
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	428	0.928854815928843	0.331924902312961	0.0	0.236	0.00125	1.74211710592884	0.712	-0.398549221538427
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	458	0.857240810945685	0.421552807756898	0.014	0.424	0.00775	1.50389708601157	0.58525	-0.888036033188596
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	43	0.961469224650741	0.346431982723571	0.006	0.593	0.0	2.52352577902969	0.705	-0.312418852672253
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	472	0.950848300836508	0.473307495850265	0.001	0.58	0.0	1.94474838426193	0.85075	-0.191822907035086
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	437	0.919579962277467	0.265542088249046	0.004	0.14	0.00125	1.90265100350972	0.2715	-1.36678998757688
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	420	0.898082312634143	0.514638556522276	0.004	0.746	0.00875	1.53251245861084	0.6315	0.354637090868518
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	469	0.983891070787307	0.459663946464472	0.03	0.573	0.0	2.9301812013555	0.9705	-0.0508636470595163
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	415	0.95454999779018	0.312180919538974	0.001	0.139	0.001	1.82582823520691	0.15125	-2.70416463969618
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	455	0.984174788061342	0.503140705143648	0.001	0.738	0.0	2.32058546426912	0.6805	0.289960899400855
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	419	0.882260726554856	0.540180324299386	0.006	0.795	0.007	1.53808104991465	0.68925	0.302421568195848
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	45	0.922520681985964	0.43960196786631	0.001	0.773	0.01125	1.56376408881428	0.93	-0.0732443215092057
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	450	0.939422270992879	0.497243003402809	0.002	0.719	0.0005	1.81137082739234	0.9935	-0.067675076821898
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	451	0.966197820471953	0.545315154008535	0.006	0.98	0.0005	2.22886506402776	0.4855	0.486276845435525
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	449	0.810883425380806	0.574903695069051	0.013	0.643	0.0725	1.04968558208227	0.74425	0.248214491723436
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	442	0.898016370502114	0.773270270082448	0.003	0.046	0.01175	1.5241993026482	0.0785	1.24767094780025
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	436	0.91844904070925	0.463670188761517	0.003	0.778	0.0055	1.60076581101951	0.94675	0.0390254598844639
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	441	0.848677853251545	0.33221940425872	0.015	0.291	0.03425	1.1677595266588	0.3655	-1.1357004443333
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	446	0.908737223998233	0.785200398987313	0.004	0.064	0.02475	1.35054086539753	0.13725	0.953730039372713
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	460	0.908612336016191	0.569390950597219	0.009	0.731	0.00525	1.60549101021868	0.36375	0.820267592456927
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	454	0.930733866405883	0.507041190753928	0.003	0.973	0.00275	1.75592883725579	0.71175	0.280096958283508
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	69	0.786558173148408	0.382540733179173	0.026	0.731	0.0635	1.1193869952999	0.824	-0.160557875427169
