"PopulationCode","IndividualCode","Species","Country","Locality","Latitude","Longitude","Elevation","Garden","soil_pH","Im_annual","Im_summer","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","PC_climate1","PC_climate2"
"CA","QLusCast03","Quercus lusitanica","Spain","Castano de Robledo",37.8958,-6.7079,735,"GH",5.90000009536743,-541.695878688681,-446.721389040286,15.0203857421875,11.2182292938232,40.1701927185059,583.786376953125,31.2360000610352,3.30925011634827,27.9267501831055,9.33787536621094,22.4700832366943,22.6675415039062,8.40775012969971,643,104,4,62.0370826721191,285,32,34,263,-0.0835912517589654,-1.96343987005263
"CA","QLusCast04","Quercus lusitanica","Spain","Castano de Robledo",37.8958,-6.7079,735,"GH",5.90000009536743,-541.695878688681,-446.721389040286,15.0203857421875,11.2182292938232,40.1701927185059,583.786376953125,31.2360000610352,3.30925011634827,27.9267501831055,9.33787536621094,22.4700832366943,22.6675415039062,8.40775012969971,643,104,4,62.0370826721191,285,32,34,263,-0.0835912517589654,-1.96343987005263
"CA","QLusCast05","Quercus lusitanica","Spain","Castano de Robledo",37.8958,-6.7079,735,"GH",5.90000009536743,-541.695878688681,-446.721389040286,15.0203857421875,11.2182292938232,40.1701927185059,583.786376953125,31.2360000610352,3.30925011634827,27.9267501831055,9.33787536621094,22.4700832366943,22.6675415039062,8.40775012969971,643,104,4,62.0370826721191,285,32,34,263,-0.0835912517589654,-1.96343987005263
"CA","QLusCast06","Quercus lusitanica","Spain","Castano de Robledo",37.8958,-6.7079,735,"GH",5.90000009536743,-541.695878688681,-446.721389040286,15.0203857421875,11.2182292938232,40.1701927185059,583.786376953125,31.2360000610352,3.30925011634827,27.9267501831055,9.33787536621094,22.4700832366943,22.6675415039062,8.40775012969971,643,104,4,62.0370826721191,285,32,34,263,-0.0835912517589654,-1.96343987005263
"CA","QLusCast10","Quercus lusitanica","Spain","Castano de Robledo",37.8958,-6.7079,735,"GH",5.90000009536743,-541.695878688681,-446.721389040286,15.0203857421875,11.2182292938232,40.1701927185059,583.786376953125,31.2360000610352,3.30925011634827,27.9267501831055,9.33787536621094,22.4700832366943,22.6675415039062,8.40775012969971,643,104,4,62.0370826721191,285,32,34,263,-0.0835912517589654,-1.96343987005263
"CA","QLusCast11","Quercus lusitanica","Spain","Castano de Robledo",37.8958,-6.7079,735,"GH",5.90000009536743,-541.695878688681,-446.721389040286,15.0203857421875,11.2182292938232,40.1701927185059,583.786376953125,31.2360000610352,3.30925011634827,27.9267501831055,9.33787536621094,22.4700832366943,22.6675415039062,8.40775012969971,643,104,4,62.0370826721191,285,32,34,263,-0.0835912517589654,-1.96343987005263
"CA","QLusCast12","Quercus lusitanica","Spain","Castano de Robledo",37.8958,-6.7079,735,"GH",5.90000009536743,-541.695878688681,-446.721389040286,15.0203857421875,11.2182292938232,40.1701927185059,583.786376953125,31.2360000610352,3.30925011634827,27.9267501831055,9.33787536621094,22.4700832366943,22.6675415039062,8.40775012969971,643,104,4,62.0370826721191,285,32,34,263,-0.0835912517589654,-1.96343987005263
"CA","QLusCast13","Quercus lusitanica","Spain","Castano de Robledo",37.8958,-6.7079,735,"GH",5.90000009536743,-541.695878688681,-446.721389040286,15.0203857421875,11.2182292938232,40.1701927185059,583.786376953125,31.2360000610352,3.30925011634827,27.9267501831055,9.33787536621094,22.4700832366943,22.6675415039062,8.40775012969971,643,104,4,62.0370826721191,285,32,34,263,-0.0835912517589654,-1.96343987005263
"BU","QLusBuje01","Quercus lusitanica","Spain","El Bujeo",36.07097,-5.5298,275,"",6.09999990463257,-158.608871895881,-367.697364208486,16.7920207977295,7.85374879837036,37.7176208496094,455.891174316406,28.2851066589355,7.46261405944824,20.8224925994873,12.7054710388184,22.3767986297607,22.8054714202881,11.582067489624,876,145,0,78.1365432739258,415,14,22,410,-4.5250521064687,-1.79760501356645
"BU","QLusBuje02","Quercus lusitanica","Spain","El Bujeo",36.07097,-5.5298,275,"",6.09999990463257,-158.608871895881,-367.697364208486,16.7920207977295,7.85374879837036,37.7176208496094,455.891174316406,28.2851066589355,7.46261405944824,20.8224925994873,12.7054710388184,22.3767986297607,22.8054714202881,11.582067489624,876,145,0,78.1365432739258,415,14,22,410,-4.5250521064687,-1.79760501356645
"BU","QLusBuje03","Quercus lusitanica","Spain","El Bujeo",36.07097,-5.5298,275,"",6.09999990463257,-158.608871895881,-367.697364208486,16.7920207977295,7.85374879837036,37.7176208496094,455.891174316406,28.2851066589355,7.46261405944824,20.8224925994873,12.7054710388184,22.3767986297607,22.8054714202881,11.582067489624,876,145,0,78.1365432739258,415,14,22,410,-4.5250521064687,-1.79760501356645
"BU","QLusBuje04","Quercus lusitanica","Spain","El Bujeo",36.07097,-5.5298,275,"",6.09999990463257,-158.608871895881,-367.697364208486,16.7920207977295,7.85374879837036,37.7176208496094,455.891174316406,28.2851066589355,7.46261405944824,20.8224925994873,12.7054710388184,22.3767986297607,22.8054714202881,11.582067489624,876,145,0,78.1365432739258,415,14,22,410,-4.5250521064687,-1.79760501356645
"BU","QLusBuje07","Quercus lusitanica","Spain","El Bujeo",36.07097,-5.5298,275,"",6.09999990463257,-158.608871895881,-367.697364208486,16.7920207977295,7.85374879837036,37.7176208496094,455.891174316406,28.2851066589355,7.46261405944824,20.8224925994873,12.7054710388184,22.3767986297607,22.8054714202881,11.582067489624,876,145,0,78.1365432739258,415,14,22,410,-4.5250521064687,-1.79760501356645
"BU","QLusBuje08","Quercus lusitanica","Spain","El Bujeo",36.07097,-5.5298,275,"",6.09999990463257,-158.608871895881,-367.697364208486,16.7920207977295,7.85374879837036,37.7176208496094,455.891174316406,28.2851066589355,7.46261405944824,20.8224925994873,12.7054710388184,22.3767986297607,22.8054714202881,11.582067489624,876,145,0,78.1365432739258,415,14,22,410,-4.5250521064687,-1.79760501356645
"BU","QLusBuje10","Quercus lusitanica","Spain","El Bujeo",36.07097,-5.5298,275,"",6.09999990463257,-158.608871895881,-367.697364208486,16.7920207977295,7.85374879837036,37.7176208496094,455.891174316406,28.2851066589355,7.46261405944824,20.8224925994873,12.7054710388184,22.3767986297607,22.8054714202881,11.582067489624,876,145,0,78.1365432739258,415,14,22,410,-4.5250521064687,-1.79760501356645
"FE","QLusFern02","Quercus lusitanica","Portugal","Fernao Ferro",38.54203,-9.08829,79,"",5.90000009536743,-366.73985107765,-362.26799645123,16.6737861633301,8.55938053131104,42.6424102783203,407.485107421875,27.7382354736328,7.66577529907227,20.0724601745605,12.5394382476807,21.5616302490234,21.8815059661865,11.80641746521,687,115,6,65.2981414794922,317,30,39,297,-3.38060264041683,-1.24298635308638
"FE","QLusFern03","Quercus lusitanica","Portugal","Fernao Ferro",38.54203,-9.08829,79,"",5.90000009536743,-366.73985107765,-362.26799645123,16.6737861633301,8.55938053131104,42.6424102783203,407.485107421875,27.7382354736328,7.66577529907227,20.0724601745605,12.5394382476807,21.5616302490234,21.8815059661865,11.80641746521,687,115,6,65.2981414794922,317,30,39,297,-3.38060264041683,-1.24298635308638
