"PopulationCode","IndividualCode","Species","Country","Locality","Latitude","Longitude","Elevation","Garden","soil_pH","Im_annual","Im_summer","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","PC_climate1","PC_climate2"
"SAL","QFagSala01","Quercus faginea","Spain","Salamanca",40.87523,-5.82989,864,"OE, GH",6.5,-454.471541666482,-395.558527451517,11.9899797439575,11.6248331069946,39.5840072631836,625.337036132812,29.4167499542236,0.0492499992251396,29.3675003051758,5.62720823287964,20.0636253356934,20.0877914428711,4.932541847229,629,83,15,42.0769081115723,231,67,74,227,2.23995690057225,1.27949211532036
"SAL","QFagSala04","Quercus faginea","Spain","Salamanca",40.87523,-5.82989,864,"OE, GH",6.5,-454.471541666482,-395.558527451517,11.9899797439575,11.6248331069946,39.5840072631836,625.337036132812,29.4167499542236,0.0492499992251396,29.3675003051758,5.62720823287964,20.0636253356934,20.0877914428711,4.932541847229,629,83,15,42.0769081115723,231,67,74,227,2.23995690057225,1.27949211532036
"SAL","QFagSala05","Quercus faginea","Spain","Salamanca",40.87523,-5.82989,864,"OE, GH",6.5,-454.471541666482,-395.558527451517,11.9899797439575,11.6248331069946,39.5840072631836,625.337036132812,29.4167499542236,0.0492499992251396,29.3675003051758,5.62720823287964,20.0636253356934,20.0877914428711,4.932541847229,629,83,15,42.0769081115723,231,67,74,227,2.23995690057225,1.27949211532036
"SAL","QFagSala06","Quercus faginea","Spain","Salamanca",40.87523,-5.82989,864,"OE, GH",6.5,-454.471541666482,-395.558527451517,11.9899797439575,11.6248331069946,39.5840072631836,625.337036132812,29.4167499542236,0.0492499992251396,29.3675003051758,5.62720823287964,20.0636253356934,20.0877914428711,4.932541847229,629,83,15,42.0769081115723,231,67,74,227,2.23995690057225,1.27949211532036
"SAL","QFagSala08","Quercus faginea","Spain","Salamanca",40.87523,-5.82989,864,"OE, GH",6.5,-454.471541666482,-395.558527451517,11.9899797439575,11.6248331069946,39.5840072631836,625.337036132812,29.4167499542236,0.0492499992251396,29.3675003051758,5.62720823287964,20.0636253356934,20.0877914428711,4.932541847229,629,83,15,42.0769081115723,231,67,74,227,2.23995690057225,1.27949211532036
"SAL","QFagSala09","Quercus faginea","Spain","Salamanca",40.87523,-5.82989,864,"OE, GH",6.5,-454.471541666482,-395.558527451517,11.9899797439575,11.6248331069946,39.5840072631836,625.337036132812,29.4167499542236,0.0492499992251396,29.3675003051758,5.62720823287964,20.0636253356934,20.0877914428711,4.932541847229,629,83,15,42.0769081115723,231,67,74,227,2.23995690057225,1.27949211532036
"SAL","QFagSala10","Quercus faginea","Spain","Salamanca",40.87523,-5.82989,864,"OE, GH",6.5,-454.471541666482,-395.558527451517,11.9899797439575,11.6248331069946,39.5840072631836,625.337036132812,29.4167499542236,0.0492499992251396,29.3675003051758,5.62720823287964,20.0636253356934,20.0877914428711,4.932541847229,629,83,15,42.0769081115723,231,67,74,227,2.23995690057225,1.27949211532036
"SOT","QFagSoto01","Quercus faginea","Spain","Soto del Real",40.74432,-3.74622,909,"OE, GH",7.19999980926514,-562.984813847228,-372.007826243965,11.6597709655762,10.5812921524048,36.2745666503906,672.730224609375,28.6687507629395,-0.501250028610229,29.1700000762939,7.78666687011719,20.4182510375977,20.470832824707,4.14454174041748,462,55,16,35.4183692932129,158,63,66,127,3.78003649717639,1.02173820790082
"SOT","QFagSoto02","Quercus faginea","Spain","Soto del Real",40.74432,-3.74622,909,"OE, GH",7.19999980926514,-562.984813847228,-372.007826243965,11.6597709655762,10.5812921524048,36.2745666503906,672.730224609375,28.6687507629395,-0.501250028610229,29.1700000762939,7.78666687011719,20.4182510375977,20.470832824707,4.14454174041748,462,55,16,35.4183692932129,158,63,66,127,3.78003649717639,1.02173820790082
"SOT","QFagSoto03","Quercus faginea","Spain","Soto del Real",40.74432,-3.74622,909,"OE, GH",7.19999980926514,-562.984813847228,-372.007826243965,11.6597709655762,10.5812921524048,36.2745666503906,672.730224609375,28.6687507629395,-0.501250028610229,29.1700000762939,7.78666687011719,20.4182510375977,20.470832824707,4.14454174041748,462,55,16,35.4183692932129,158,63,66,127,3.78003649717639,1.02173820790082
"SOT","QFagSoto04","Quercus faginea","Spain","Soto del Real",40.74432,-3.74622,909,"OE, GH",7.19999980926514,-562.984813847228,-372.007826243965,11.6597709655762,10.5812921524048,36.2745666503906,672.730224609375,28.6687507629395,-0.501250028610229,29.1700000762939,7.78666687011719,20.4182510375977,20.470832824707,4.14454174041748,462,55,16,35.4183692932129,158,63,66,127,3.78003649717639,1.02173820790082
"SOT","QFagSoto05","Quercus faginea","Spain","Soto del Real",40.74432,-3.74622,909,"OE, GH",7.19999980926514,-562.984813847228,-372.007826243965,11.6597709655762,10.5812921524048,36.2745666503906,672.730224609375,28.6687507629395,-0.501250028610229,29.1700000762939,7.78666687011719,20.4182510375977,20.470832824707,4.14454174041748,462,55,16,35.4183692932129,158,63,66,127,3.78003649717639,1.02173820790082
"SOT","QFagSoto06","Quercus faginea","Spain","Soto del Real",40.74432,-3.74622,909,"OE, GH",7.19999980926514,-562.984813847228,-372.007826243965,11.6597709655762,10.5812921524048,36.2745666503906,672.730224609375,28.6687507629395,-0.501250028610229,29.1700000762939,7.78666687011719,20.4182510375977,20.470832824707,4.14454174041748,462,55,16,35.4183692932129,158,63,66,127,3.78003649717639,1.02173820790082
"TAL","QFagTala02","Quercus faginea","Spain","Talayuela",39.94701,-5.58068,270,"OE",7,-789.570379868252,-463.542081839553,15.743260383606,11.8414373397827,39.8728446960449,627.610473632812,32.7827491760254,3.0847499370575,29.6979999542236,9.24316692352295,23.7939586639404,23.8111248016357,8.55550003051758,434,57,6,46.9095802307129,165,37,41,159,2.56967167741544,-2.84077580591956
"TAL","QFagTala03","Quercus faginea","Spain","Talayuela",39.94701,-5.58068,270,"OE",7,-789.570379868252,-463.542081839553,15.743260383606,11.8414373397827,39.8728446960449,627.610473632812,32.7827491760254,3.0847499370575,29.6979999542236,9.24316692352295,23.7939586639404,23.8111248016357,8.55550003051758,434,57,6,46.9095802307129,165,37,41,159,2.56967167741544,-2.84077580591956
"TAL","QFagTala04","Quercus faginea","Spain","Talayuela",39.94701,-5.58068,270,"OE",7,-789.570379868252,-463.542081839553,15.743260383606,11.8414373397827,39.8728446960449,627.610473632812,32.7827491760254,3.0847499370575,29.6979999542236,9.24316692352295,23.7939586639404,23.8111248016357,8.55550003051758,434,57,6,46.9095802307129,165,37,41,159,2.56967167741544,-2.84077580591956
"TAL","QFagTala05","Quercus faginea","Spain","Talayuela",39.94701,-5.58068,270,"OE",7,-789.570379868252,-463.542081839553,15.743260383606,11.8414373397827,39.8728446960449,627.610473632812,32.7827491760254,3.0847499370575,29.6979999542236,9.24316692352295,23.7939586639404,23.8111248016357,8.55550003051758,434,57,6,46.9095802307129,165,37,41,159,2.56967167741544,-2.84077580591956
"TAL","QFagTala06","Quercus faginea","Spain","Talayuela",39.94701,-5.58068,270,"OE",7,-789.570379868252,-463.542081839553,15.743260383606,11.8414373397827,39.8728446960449,627.610473632812,32.7827491760254,3.0847499370575,29.6979999542236,9.24316692352295,23.7939586639404,23.8111248016357,8.55550003051758,434,57,6,46.9095802307129,165,37,41,159,2.56967167741544,-2.84077580591956
