"id","sire","dam","sire_pop","dam_pop"
"176","176","44","SOT","SOT"
"177","177","44","SOT","SOT"
"178","178","45","SOT","SOT"
"179","179","45","SOT","SOT"
"180","180","45","SOT","SOT"
"181","181","45","SOT","SOT"
"182","182","45","SOT","SOT"
"183","183","45","SOT","SOT"
"184","184","46","SOT","SOT"
"185","185","46","SOT","SOT"
"186","186","46","SOT","SOT"
"187","187","47","SOT","SOT"
"188","188","47","SOT","SOT"
"189","189","47","SOT","SOT"
"190","190","48","SOT","SOT"
"191","191","48","SOT","SOT"
"192","192","48","SOT","SOT"
"193","193","49","TAL","TAL"
"194","194","50","TAL","TAL"
"195","195","50","TAL","TAL"
"196","196","50","TAL","TAL"
"197","197","51","TAL","TAL"
"198","198","51","TAL","TAL"
"199","199","51","TAL","TAL"
"200","200","51","TAL","TAL"
"201","201","52","TAL","TAL"
"202","202","52","TAL","TAL"
"203","203","52","TAL","TAL"
"204","204","52","TAL","TAL"
"205","205","53","TAL","TAL"
"206","206","53","TAL","TAL"
"207","207","54","TAL","TAL"
"208","208","54","TAL","TAL"
"209","209","54","TAL","TAL"
"210","210","54","TAL","TAL"
"211","211","55","ZAF","ZAF"
"212","212","55","ZAF","ZAF"
"213","213","55","ZAF","ZAF"
"214","214","55","ZAF","ZAF"
"215","215","55","ZAF","ZAF"
"216","216","55","ZAF","ZAF"
"217","217","56","ZAF","ZAF"
"218","218","56","ZAF","ZAF"
"219","219","56","ZAF","ZAF"
"220","220","56","ZAF","ZAF"
"221","221","57","ZAF","ZAF"
"222","222","57","ZAF","ZAF"
"223","223","57","ZAF","ZAF"
"224","224","57","ZAF","ZAF"
"225","225","57","ZAF","ZAF"
"226","226","58","ZAF","ZAF"
"227","227","58","ZAF","ZAF"
"228","228","58","ZAF","ZAF"
"229","229","59","ZAF","ZAF"
"230","230","59","ZAF","ZAF"
"231","231","59","ZAF","ZAF"
"232","232","60","ZAF","ZAF"
