"species","garden","trait","n_individuals","n_populations","log_ratio_mean","log_ratio_median","log_ratio_lo","log_ratio_hi","log_ratio_p","PC1_beta_mean","PC1_beta_lo","PC1_beta_hi","PC1_p","PC2_beta_mean","PC2_beta_lo","PC2_beta_hi","PC2_p","n_divergent","max_rhat"
"faginea","GH","AGR.TreatD",369,8,2.76082139782027,2.69739235676243,-0.502416421916817,6.50367663597691,0.0843333333333333,-0.123233864967162,-0.171032277678911,-0.0753465165105722,NA,0.00251181540011068,-0.0368826601309574,0.0424363185881687,NA,157,1.038013876172
"faginea","GH","AGR.TreatWW",382,8,2.29019542028106,2.40659644442345,-2.50083546286078,7.03839851173298,0.392333333333333,-0.141059675550521,-0.181361830864596,-0.0968962176455075,NA,-0.0726982685770333,-0.110264236741206,-0.0386799857317958,NA,1127,1.3486454910371
"faginea","GH","Area.TreatD",380,8,4.04303584308591,3.82157939208883,1.01381493342561,8.4435991707043,0.00566666666666667,-0.151797134072875,-0.195567400689095,-0.107485668119108,NA,0.0357019453203363,-0.00116435195487615,0.0731267860925796,NA,506,1.01636052878617
"faginea","GH","Area.TreatWW",381,8,2.71669886622696,2.6774078173848,-0.12352504702031,5.57991858164614,0.0576666666666667,-0.168801723940037,-0.216076198052538,-0.120682860732886,NA,0.04610306746022,0.00593692525395486,0.086107320568417,NA,177,1.01871682578691
"faginea","GH","FvFmprima.TreatD",316,8,3.53219130353,3.32511241714202,-3.84749614343076,12.1730317402508,0.299666666666667,0.0827815057231489,0.0356852323003918,0.130204893110531,NA,-0.0441449819211705,-0.0838255322774151,-0.00506366236418083,NA,646,1.05001921565348
"faginea","GH","FvFmprima.TreatWW",367,8,2.87536900228592,2.93750551789781,-4.07789578177741,9.75881702556047,0.333,-0.0167610514353366,-0.0617794937085762,0.028396034735908,NA,-0.00983781523987106,-0.0481243409468702,0.0284603654208295,NA,290,1.00544319048966
"faginea","GH","Gsarea.TreatD",383,8,5.41324181112983,5.17031685389188,1.12923759562271,11.3809176726714,0.0126666666666667,0.128790782136139,0.0873712953582478,0.172024546952633,NA,-0.0452949376642007,-0.0819513465263019,-0.00987593692777715,NA,356,1.01497793371439
"faginea","GH","Gsarea.TreatWW",377,8,3.1445352126409,3.1663753517165,-3.64401307325092,10.1304837431836,0.303333333333333,0.0238518245527356,-0.0206093357834574,0.068687856042682,NA,-0.0198647282241523,-0.05753705366233,0.018153215440863,NA,280,1.0075638422682
"faginea","GH","Gsmass.TreatD",380,8,4.66663966212341,4.53430043564554,-0.934399146162226,11.2129387937354,0.0933333333333333,0.156446063581371,0.115116186879152,0.198038172404685,NA,-0.0524594367560029,-0.0864785331286218,-0.0176638549753034,NA,178,1.00664674686603
"faginea","GH","Gsmass.TreatWW",377,8,3.30117988940118,3.33388612991131,-3.54822337737615,10.1661333941186,0.293666666666667,0.0468026299497795,0.00550422034932458,0.0900699424409972,NA,-0.0357072729706802,-0.0732639035100473,0.00168005233066313,NA,281,1.00366064915815
