"species","garden","trait","n_individuals","n_populations","log_ratio_mean","log_ratio_median","log_ratio_lo","log_ratio_hi","log_ratio_p","PC1_beta_mean","PC1_beta_lo","PC1_beta_hi","PC1_p","PC2_beta_mean","PC2_beta_lo","PC2_beta_hi","PC2_p","n_divergent","max_rhat","min_bulk_ess","min_tail_ess"
"lusitanica","GH","Gsarea.TreatW",164,5,1.84903595517958,2.03561668415338,-4.10158536201736,6.80241934447053,0.3875,NA,NA,NA,NA,NA,NA,NA,NA,28,1.00722502791417,NA,NA
"lusitanica","GH","PA.TreatW",164,5,0.654534052635477,1.00894981501047,-5.46466191504519,4.5021347379794,0.6385,NA,NA,NA,NA,NA,NA,NA,NA,30,1.02723999266597,NA,NA
